IT業界,57064.0,3936.0,3.7,3.0,53880.0,118764.0,37.6,9.8,590.0
OA機器業界,54073.0,4908.0,5.3,-5.5,85475.0,53159.0,41.5,17.0,682.0
アパレル業界,44487.0,3275.0,3.9,2.2,37067.0,37427.0,38.7,12.2,510.0
インターネット業界,17121.0,4306.0,13.6,10.9,38591.0,21340.0,33.5,4.2,518.0
インテリア業界,6484.0,993.0,7.4,7.0,6756.0,5052.0,35.6,7.6,512.0
ガス業界,49988.0,3076.0,3.8,4.8,54907.0,24705.0,41.7,17.7,610.0
ガラス業界,27241.0,1824.0,3.6,-6.1,45875.0,18251.0,39.3,15.9,576.0
カフェ業界,2429.0,454.0,3.3,5.2,5118.0,8326.0,37.4,9.2,533.0
カラオケ業界,1351.0,493.0,5.3,-0.7,4789.0,2213.0,39.0,8.4,581.0
カー用品店業界,4606.0,338.0,3.6,-0.9,4369.0,2887.0,39.7,11.5,555.0
クレジットカード業界,14870.0,2211.0,10.4,-4.6,204404.0,17919.0,39.7,13.1,596.0
ゲーム業界,22108.0,4048.0,7.2,-9.1,176635.0,22035.0,35.0,6.7,647.0
ゴム・タイヤ業界,54242.0,4679.0,5.2,-0.8,56050.0,42073.0,40.9,16.0,569.0
ゴルフ場業界,2397.0,212.0,4.1,1.1,8683.0,7923.0,46.0,10.7,325.0
コンビニ業界,59946.0,4396.0,3.5,1.9,61718.0,25837.0,39.3,12.6,575.0
サービス業界,146838.0,10806.0,3.9,2.3,163051.0,243229.0,37.6,8.0,519.0
ジュエリー業界,2315.0,119.0,1.0,1.3,2938.0,6696.0,37.3,7.4,388.0
スポーツクラブ業界,2265.0,334.0,5.1,2.6,4568.0,2737.0,34.7,7.5,562.0
スポーツ用品店業界,4623.0,284.0,3.0,4.1,3886.0,4755.0,39.1,11.6,465.0
スポーツ用品業界,7906.0,823.0,5.5,1.1,9489.0,8547.0,40.4,14.8,577.0
スーパー業界,201400.0,7373.0,1.7,0.8,149827.0,68992.0,39.9,13.4,484.0
テレビ業界,27800.0,2579.0,5.4,-0.2,45502.0,11043.0,42.6,16.5,976.0
ドラッグストア業界,40193.0,1999.0,2.5,10.3,20046.0,23447.0,37.1,7.2,515.0
パチンコ(製造)業界,8206.0,1508.0,13.2,0.8,19880.0,5201.0,38.3,9.9,727.0
パン業界,12408.0,337.0,1.0,1.3,8579.0,18290.0,38.3,13.4,468.0
ビル管理業界,7191.0,399.0,3.1,5.4,4934.0,22730.0,44.6,9.0,424.0
ビール業界,26232.0,3725.0,6.0,-3.3,70547.0,1220.0,42.2,16.4,895.0
ブライダル業界,2441.0,380.0,3.9,9.4,4821.0,4958.0,34.9,7.3,528.0
プラント業界,20526.0,1630.0,4.9,-1.5,21360.0,16757.0,42.3,16.1,717.0
ホテル業界,8152.0,2108.0,14.7,-4.4,75066.0,19392.0,39.7,13.3,505.0
ホームセンター業界,27267.0,1734.0,3.5,1.9,21592.0,19724.0,38.5,11.6,484.0
メガネ業界,1776.0,98.0,0.4,0.7,1343.0,4515.0,36.3,11.2,417.0
モバイル業界,6092.0,1519.0,11.9,11.2,5826.0,9196.0,33.9,4.1,519.0
リサイクル業界,2230.0,106.0,2.5,5.9,1196.0,3497.0,34.0,5.9,418.0
リース業界,53711.0,4910.0,5.6,1.5,284655.0,16151.0,40.9,14.5,659.0
レジャー施設業界,22097.0,6327.0,17.3,-2.1,158513.0,40540.0,40.8,12.5,581.0
不動産業界,98891.0,10711.0,5.5,-0.5,348167.0,53431.0,38.9,7.5,609.0
中古車業界,3885.0,416.0,6.5,-3.3,3111.0,4148.0,35.7,6.4,456.0
中食業界,4308.0,160.0,0.8,1.3,3090.0,6102.0,38.8,9.6,472.0
二輪車・バイク業界,26201.0,7108.0,18.5,-5.6,185514.0,63635.0,41.2,18.2,665.0
人材派遣業界,10220.0,465.0,2.9,-1.0,4560.0,19326.0,34.9,5.5,470.0
介護業界,7226.0,2015.0,5.1,10.6,24201.0,51466.0,40.1,5.9,448.0
住宅業界,76839.0,5387.0,3.8,2.2,86882.0,50313.0,39.1,9.9,601.0
住宅設備業界,82304.0,912.0,-5.6,-0.4,150001.0,125454.0,41.1,15.2,555.0
倉庫・運輸業界,25061.0,1150.0,2.7,1.6,27195.0,23410.0,39.6,14.2,596.0
冠婚葬祭業界,3081.0,425.0,5.4,5.7,5528.0,5873.0,38.1,8.3,509.0
出版業界,10040.0,645.0,3.5,1.6,9137.0,6662.0,37.8,9.8,627.0
化学業界,242600.0,15861.0,2.8,-1.5,325480.0,159719.0,40.3,15.5,604.0
化粧品業界,17608.0,1943.0,3.1,-0.4,24881.0,18022.0,37.8,9.4,557.0
医療機器業界,20097.0,2239.0,4.9,4.0,43949.0,32391.0,40.0,13.9,631.0
半導体業界,76110.0,7615.0,-0.9,-3.3,502339.0,261143.0,40.2,13.9,645.0
印刷業界,37615.0,1011.0,1.5,-2.0,40570.0,34640.0,39.8,13.8,491.0
卸売業界,1171528.0,25903.0,1.7,-1.3,738402.0,158899.0,40.0,12.5,582.0
商品先物業界,772.0,53.0,9.8,-4.3,10170.0,1183.0,40.2,8.1,580.0
土木業界,19122.0,919.0,3.1,-0.9,17027.0,17542.0,43.9,16.1,614.0
土石製品業界,34150.0,1883.0,3.1,-2.3,43529.0,39964.0,40.5,14.7,531.0
家庭用品業界,21508.0,2333.0,6.7,-1.3,23507.0,15852.0,41.7,16.4,682.0
家電業界,608104.0,13946.0,-0.5,-4.4,679305.0,353411.0,41.8,17.3,704.0
家電量販店業界,47450.0,832.0,0.2,-2.7,29280.0,40037.0,35.6,10.4,436.0
寿司業界,3301.0,101.0,0.5,5.7,1750.0,4307.0,37.2,8.5,444.0
専門商社業界,394645.0,6998.0,1.0,0.8,188183.0,97976.0,40.2,13.1,579.0
小売業界,524254.0,22039.0,2.1,2.3,360590.0,276105.0,37.6,9.9,477.0
居酒屋業界,6079.0,228.0,1.6,4.1,4666.0,8006.0,38.1,6.6,456.0
工作機械業界,33418.0,4655.0,6.0,0.1,42480.0,59053.0,40.1,16.1,581.0
広告業界,38582.0,1234.0,1.8,0.1,32250.0,15074.0,34.6,6.6,575.0
建設コンサルタント業界,3217.0,164.0,4.2,1.3,3681.0,9463.0,43.4,12.9,591.0
建設業界,139152.0,2541.0,0.6,-3.2,134577.0,105778.0,43.6,17.4,620.0
建設機械業界,57903.0,6755.0,6.9,-2.5,169713.0,98154.0,40.7,15.7,593.0
損害保険業界,77482.0,5596.0,4.0,1.5,530192.0,4793.0,42.6,14.5,896.0
携帯電話業界,95562.0,20183.0,10.8,0.8,179025.0,22481.0,39.6,12.5,885.0
携帯電話販売業界,16694.0,640.0,2.0,10.6,379.0,9729.0,32.8,6.2,455.0
教育業界,8906.0,676.0,3.8,2.4,8367.0,8724.0,38.1,8.7,517.0
文具業界,13866.0,534.0,2.3,-0.5,12221.0,15001.0,40.8,15.5,550.0
旅行業界,7420.0,1705.0,12.9,-0.3,47132.0,21460.0,36.8,10.9,587.0
映画業界,6682.0,711.0,5.6,0.6,11748.0,4411.0,39.7,10.3,569.0
時計業界,8858.0,387.0,1.1,-5.8,11185.0,3311.0,44.3,18.8,698.0
機械業界,227188.0,16025.0,4.2,-1.7,307541.0,247950.0,40.7,15.1,578.0
水産・農林業界,17600.0,287.0,0.3,0.6,12172.0,5302.0,39.5,11.8,514.0
海運業界,51722.0,123.0,-3.8,-3.4,67932.0,5033.0,39.6,13.6,743.0
消費者金融業界,6433.0,1290.0,19.0,-13.0,48716.0,5067.0,39.4,9.9,611.0
清涼飲料業界,42286.0,11547.0,16.1,0.7,142841.0,27086.0,41.1,16.1,748.0
玩具業界,31657.0,3822.0,1.5,-8.3,176437.0,22561.0,38.5,9.7,747.0
百貨店業界,73693.0,6489.0,4.7,-2.6,157095.0,33797.0,42.0,18.0,556.0
石油業界,259736.0,12808.0,1.4,2.6,192431.0,12316.0,43.0,19.5,830.0
精密機器業界,45344.0,3100.0,4.7,-1.4,60915.0,40242.0,40.6,13.4,586.0
経営コンサルタント業界,3310.0,309.0,4.2,6.5,3138.0,7127.0,34.4,5.6,567.0
総合商社業界,720778.0,17047.0,2.0,-2.7,517916.0,31909.0,41.8,16.8,1187.0
繊維業界,21326.0,3529.0,1.9,-2.4,84107.0,34908.0,41.6,16.4,538.0
自動車業界,524615.0,31614.0,4.1,-2.5,730087.0,207557.0,39.5,17.2,652.0
自動車部品業界,223136.0,11926.0,2.6,-1.7,220006.0,210367.0,39.4,15.4,567.0
航空業界,30597.0,2740.0,7.1,-2.0,36514.0,31034.0,38.6,8.5,601.0
菓子業界,13947.0,732.0,1.8,-0.5,17586.0,13848.0,40.5,14.8,559.0
製粉業界,10917.0,503.0,2.6,1.6,9539.0,3629.0,40.6,16.3,630.0
製紙業界,44844.0,1613.0,2.2,-1.4,61781.0,22638.0,39.9,16.5,562.0
製薬業界,93521.0,12312.0,8.8,2.7,176460.0,83187.0,40.6,11.7,698.0
証券業界,36807.0,5328.0,8.7,2.9,981063.0,7985.0,40.3,9.2,683.0
警備業界,11761.0,1349.0,6.4,2.2,16554.0,33842.0,39.6,11.5,453.0
通信業界,251088.0,34748.0,6.8,0.3,419857.0,37074.0,41.9,15.5,949.0
通販業界,11211.0,545.0,2.7,2.5,8102.0,10395.0,37.0,7.7,535.0
造船重機業界,70624.0,3135.0,2.5,-2.3,87521.0,66487.0,40.9,15.2,628.0
運送業界,69327.0,2675.0,2.1,-0.1,56880.0,94106.0,41.0,13.3,512.0
重電業界,64433.0,6038.0,7.6,-2.9,204346.0,115089.0,41.8,18.2,742.0
金属製品業界,63587.0,3085.0,2.3,-0.02,70546.0,61395.0,40.7,15.3,543.0
金融業界,474829.0,74817.0,10.2,0.5,12551407.0,216871.0,40.0,13.6,656.0
鉄道業界,135595.0,12977.0,5.6,-1.2,355760.0,156331.0,42.3,16.1,552.0
鉄鋼業界,138834.0,2307.0,-2.1,-2.3,191301.0,73292.0,39.4,16.1,580.0
銀行業界,209291.0,51458.0,16.8,-3.6,9804021.0,148066.0,39.7,16.3,640.0
雑貨業界,4070.0,334.0,3.1,4.1,2835.0,4983.0,33.8,6.0,444.0
電力業界,184817.0,-13089.0,-8.4,1.4,472644.0,124950.0,41.2,20.7,760.0
電気機器業界,722708.0,21101.0,-0.1,-4.1,824931.0,552485.0,40.7,14.3,594.0
電気通信工事業界,38620.0,1544.0,2.0,0.8,33752.0,59343.0,42.3,17.8,626.0
非鉄金属業界,111854.0,7539.0,3.1,-4.3,209183.0,48615.0,40.4,15.1,609.0
靴業界,4688.0,509.0,6.0,5.9,3982.0,6009.0,38.1,13.1,485.0
食品業界,174041.0,11329.0,3.6,2.4,165706.0,102815.0,39.8,14.3,564.0
飲食業界,40849.0,2059.0,2.3,2.5,28972.0,48058.0,36.8,8.1,468.0
飼料業界,4916.0,165.0,1.2,-0.3,4697.0,3246.0,40.8,15.9,551.0
駐車場業界,1631.0,207.0,6.7,12.6,1447.0,581.0,34.0,4.2,495.0
高速道路業界,39272.0,372.0,0.6,5.5,42135.0,8385.0,42.4,16.6,783.0
IT業界,57064.0,3936.0,3.7,3.0,53880.0,118764.0,37.6,9.8,590.0
OA機器業界,54073.0,4908.0,5.3,-5.5,85475.0,53159.0,41.5,17.0,682.0
アパレル業界,44487.0,3275.0,3.9,2.2,37067.0,37427.0,38.7,12.2,510.0
インターネット業界,17121.0,4306.0,13.6,10.9,38591.0,21340.0,33.5,4.2,518.0
インテリア業界,6484.0,993.0,7.4,7.0,6756.0,5052.0,35.6,7.6,512.0
ガス業界,49988.0,3076.0,3.8,4.8,54907.0,24705.0,41.7,17.7,610.0
ガラス業界,27241.0,1824.0,3.6,-6.1,45875.0,18251.0,39.3,15.9,576.0
カフェ業界,2429.0,454.0,3.3,5.2,5118.0,8326.0,37.4,9.2,533.0
カラオケ業界,1351.0,493.0,5.3,-0.7,4789.0,2213.0,39.0,8.4,581.0
カー用品店業界,4606.0,338.0,3.6,-0.9,4369.0,2887.0,39.7,11.5,555.0
クレジットカード業界,14870.0,2211.0,10.4,-4.6,204404.0,17919.0,39.7,13.1,596.0
ゲーム業界,22108.0,4048.0,7.2,-9.1,176635.0,22035.0,35.0,6.7,647.0
ゴム・タイヤ業界,54242.0,4679.0,5.2,-0.8,56050.0,42073.0,40.9,16.0,569.0
ゴルフ場業界,2397.0,212.0,4.1,1.1,8683.0,7923.0,46.0,10.7,325.0
コンビニ業界,59946.0,4396.0,3.5,1.9,61718.0,25837.0,39.3,12.6,575.0
サービス業界,146838.0,10806.0,3.9,2.3,163051.0,243229.0,37.6,8.0,519.0
ジュエリー業界,2315.0,119.0,1.0,1.3,2938.0,6696.0,37.3,7.4,388.0
スポーツクラブ業界,2265.0,334.0,5.1,2.6,4568.0,2737.0,34.7,7.5,562.0
スポーツ用品店業界,4623.0,284.0,3.0,4.1,3886.0,4755.0,39.1,11.6,465.0
スポーツ用品業界,7906.0,823.0,5.5,1.1,9489.0,8547.0,40.4,14.8,577.0
スーパー業界,201400.0,7373.0,1.7,0.8,149827.0,68992.0,39.9,13.4,484.0
テレビ業界,27800.0,2579.0,5.4,-0.2,45502.0,11043.0,42.6,16.5,976.0
ドラッグストア業界,40193.0,1999.0,2.5,10.3,20046.0,23447.0,37.1,7.2,515.0
パチンコ(製造)業界,8206.0,1508.0,13.2,0.8,19880.0,5201.0,38.3,9.9,727.0
パン業界,12408.0,337.0,1.0,1.3,8579.0,18290.0,38.3,13.4,468.0
ビル管理業界,7191.0,399.0,3.1,5.4,4934.0,22730.0,44.6,9.0,424.0
ビール業界,26232.0,3725.0,6.0,-3.3,70547.0,1220.0,42.2,16.4,895.0
ブライダル業界,2441.0,380.0,3.9,9.4,4821.0,4958.0,34.9,7.3,528.0
プラント業界,20526.0,1630.0,4.9,-1.5,21360.0,16757.0,42.3,16.1,717.0
ホテル業界,8152.0,2108.0,14.7,-4.4,75066.0,19392.0,39.7,13.3,505.0
ホームセンター業界,27267.0,1734.0,3.5,1.9,21592.0,19724.0,38.5,11.6,484.0
メガネ業界,1776.0,98.0,0.4,0.7,1343.0,4515.0,36.3,11.2,417.0
モバイル業界,6092.0,1519.0,11.9,11.2,5826.0,9196.0,33.9,4.1,519.0
リサイクル業界,2230.0,106.0,2.5,5.9,1196.0,3497.0,34.0,5.9,418.0
リース業界,53711.0,4910.0,5.6,1.5,284655.0,16151.0,40.9,14.5,659.0
レジャー施設業界,22097.0,6327.0,17.3,-2.1,158513.0,40540.0,40.8,12.5,581.0
不動産業界,98891.0,10711.0,5.5,-0.5,348167.0,53431.0,38.9,7.5,609.0
中古車業界,3885.0,416.0,6.5,-3.3,3111.0,4148.0,35.7,6.4,456.0
中食業界,4308.0,160.0,0.8,1.3,3090.0,6102.0,38.8,9.6,472.0
二輪車・バイク業界,26201.0,7108.0,18.5,-5.6,185514.0,63635.0,41.2,18.2,665.0
人材派遣業界,10220.0,465.0,2.9,-1.0,4560.0,19326.0,34.9,5.5,470.0
介護業界,7226.0,2015.0,5.1,10.6,24201.0,51466.0,40.1,5.9,448.0
住宅業界,76839.0,5387.0,3.8,2.2,86882.0,50313.0,39.1,9.9,601.0
住宅設備業界,82304.0,912.0,-5.6,-0.4,150001.0,125454.0,41.1,15.2,555.0
倉庫・運輸業界,25061.0,1150.0,2.7,1.6,27195.0,23410.0,39.6,14.2,596.0
冠婚葬祭業界,3081.0,425.0,5.4,5.7,5528.0,5873.0,38.1,8.3,509.0
出版業界,10040.0,645.0,3.5,1.6,9137.0,6662.0,37.8,9.8,627.0
化学業界,242600.0,15861.0,2.8,-1.5,325480.0,159719.0,40.3,15.5,604.0
化粧品業界,17608.0,1943.0,3.1,-0.4,24881.0,18022.0,37.8,9.4,557.0
医療機器業界,20097.0,2239.0,4.9,4.0,43949.0,32391.0,40.0,13.9,631.0
半導体業界,76110.0,7615.0,-0.9,-3.3,502339.0,261143.0,40.2,13.9,645.0
印刷業界,37615.0,1011.0,1.5,-2.0,40570.0,34640.0,39.8,13.8,491.0
卸売業界,1171528.0,25903.0,1.7,-1.3,738402.0,158899.0,40.0,12.5,582.0
商品先物業界,772.0,53.0,9.8,-4.3,10170.0,1183.0,40.2,8.1,580.0
土木業界,19122.0,919.0,3.1,-0.9,17027.0,17542.0,43.9,16.1,614.0
土石製品業界,34150.0,1883.0,3.1,-2.3,43529.0,39964.0,40.5,14.7,531.0
家庭用品業界,21508.0,2333.0,6.7,-1.3,23507.0,15852.0,41.7,16.4,682.0
家電業界,608104.0,13946.0,-0.5,-4.4,679305.0,353411.0,41.8,17.3,704.0
家電量販店業界,47450.0,832.0,0.2,-2.7,29280.0,40037.0,35.6,10.4,436.0
寿司業界,3301.0,101.0,0.5,5.7,1750.0,4307.0,37.2,8.5,444.0
専門商社業界,394645.0,6998.0,1.0,0.8,188183.0,97976.0,40.2,13.1,579.0
小売業界,524254.0,22039.0,2.1,2.3,360590.0,276105.0,37.6,9.9,477.0
居酒屋業界,6079.0,228.0,1.6,4.1,4666.0,8006.0,38.1,6.6,456.0
工作機械業界,33418.0,4655.0,6.0,0.1,42480.0,59053.0,40.1,16.1,581.0
広告業界,38582.0,1234.0,1.8,0.1,32250.0,15074.0,34.6,6.6,575.0
建設コンサルタント業界,3217.0,164.0,4.2,1.3,3681.0,9463.0,43.4,12.9,591.0
建設業界,139152.0,2541.0,0.6,-3.2,134577.0,105778.0,43.6,17.4,620.0
建設機械業界,57903.0,6755.0,6.9,-2.5,169713.0,98154.0,40.7,15.7,593.0
損害保険業界,77482.0,5596.0,4.0,1.5,530192.0,4793.0,42.6,14.5,896.0
携帯電話業界,95562.0,20183.0,10.8,0.8,179025.0,22481.0,39.6,12.5,885.0
携帯電話販売業界,16694.0,640.0,2.0,10.6,379.0,9729.0,32.8,6.2,455.0
教育業界,8906.0,676.0,3.8,2.4,8367.0,8724.0,38.1,8.7,517.0
文具業界,13866.0,534.0,2.3,-0.5,12221.0,15001.0,40.8,15.5,550.0
旅行業界,7420.0,1705.0,12.9,-0.3,47132.0,21460.0,36.8,10.9,587.0
映画業界,6682.0,711.0,5.6,0.6,11748.0,4411.0,39.7,10.3,569.0
時計業界,8858.0,387.0,1.1,-5.8,11185.0,3311.0,44.3,18.8,698.0
機械業界,227188.0,16025.0,4.2,-1.7,307541.0,247950.0,40.7,15.1,578.0
水産・農林業界,17600.0,287.0,0.3,0.6,12172.0,5302.0,39.5,11.8,514.0
海運業界,51722.0,123.0,-3.8,-3.4,67932.0,5033.0,39.6,13.6,743.0
消費者金融業界,6433.0,1290.0,19.0,-13.0,48716.0,5067.0,39.4,9.9,611.0
清涼飲料業界,42286.0,11547.0,16.1,0.7,142841.0,27086.0,41.1,16.1,748.0
玩具業界,31657.0,3822.0,1.5,-8.3,176437.0,22561.0,38.5,9.7,747.0
百貨店業界,73693.0,6489.0,4.7,-2.6,157095.0,33797.0,42.0,18.0,556.0
石油業界,259736.0,12808.0,1.4,2.6,192431.0,12316.0,43.0,19.5,830.0
精密機器業界,45344.0,3100.0,4.7,-1.4,60915.0,40242.0,40.6,13.4,586.0
経営コンサルタント業界,3310.0,309.0,4.2,6.5,3138.0,7127.0,34.4,5.6,567.0
総合商社業界,720778.0,17047.0,2.0,-2.7,517916.0,31909.0,41.8,16.8,1187.0
繊維業界,21326.0,3529.0,1.9,-2.4,84107.0,34908.0,41.6,16.4,538.0
自動車業界,524615.0,31614.0,4.1,-2.5,730087.0,207557.0,39.5,17.2,652.0
自動車部品業界,223136.0,11926.0,2.6,-1.7,220006.0,210367.0,39.4,15.4,567.0
航空業界,30597.0,2740.0,7.1,-2.0,36514.0,31034.0,38.6,8.5,601.0
菓子業界,13947.0,732.0,1.8,-0.5,17586.0,13848.0,40.5,14.8,559.0
製粉業界,10917.0,503.0,2.6,1.6,9539.0,3629.0,40.6,16.3,630.0
製紙業界,44844.0,1613.0,2.2,-1.4,61781.0,22638.0,39.9,16.5,562.0
製薬業界,93521.0,12312.0,8.8,2.7,176460.0,83187.0,40.6,11.7,698.0
証券業界,36807.0,5328.0,8.7,2.9,981063.0,7985.0,40.3,9.2,683.0
警備業界,11761.0,1349.0,6.4,2.2,16554.0,33842.0,39.6,11.5,453.0
通信業界,251088.0,34748.0,6.8,0.3,419857.0,37074.0,41.9,15.5,949.0
通販業界,11211.0,545.0,2.7,2.5,8102.0,10395.0,37.0,7.7,535.0
造船重機業界,70624.0,3135.0,2.5,-2.3,87521.0,66487.0,40.9,15.2,628.0
運送業界,69327.0,2675.0,2.1,-0.1,56880.0,94106.0,41.0,13.3,512.0
重電業界,64433.0,6038.0,7.6,-2.9,204346.0,115089.0,41.8,18.2,742.0
金属製品業界,63587.0,3085.0,2.3,-0.02,70546.0,61395.0,40.7,15.3,543.0
金融業界,474829.0,74817.0,10.2,0.5,12551407.0,216871.0,40.0,13.6,656.0
鉄道業界,135595.0,12977.0,5.6,-1.2,355760.0,156331.0,42.3,16.1,552.0
鉄鋼業界,138834.0,2307.0,-2.1,-2.3,191301.0,73292.0,39.4,16.1,580.0
銀行業界,209291.0,51458.0,16.8,-3.6,9804021.0,148066.0,39.7,16.3,640.0
雑貨業界,4070.0,334.0,3.1,4.1,2835.0,4983.0,33.8,6.0,444.0
電力業界,184817.0,-13089.0,-8.4,1.4,472644.0,124950.0,41.2,20.7,760.0
電気機器業界,722708.0,21101.0,-0.1,-4.1,824931.0,552485.0,40.7,14.3,594.0
電気通信工事業界,38620.0,1544.0,2.0,0.8,33752.0,59343.0,42.3,17.8,626.0
非鉄金属業界,111854.0,7539.0,3.1,-4.3,209183.0,48615.0,40.4,15.1,609.0
靴業界,4688.0,509.0,6.0,5.9,3982.0,6009.0,38.1,13.1,485.0
食品業界,174041.0,11329.0,3.6,2.4,165706.0,102815.0,39.8,14.3,564.0
飲食業界,40849.0,2059.0,2.3,2.5,28972.0,48058.0,36.8,8.1,468.0
飼料業界,4916.0,165.0,1.2,-0.3,4697.0,3246.0,40.8,15.9,551.0
駐車場業界,1631.0,207.0,6.7,12.6,1447.0,581.0,34.0,4.2,495.0
高速道路業界,39272.0,372.0,0.6,5.5,42135.0,8385.0,42.4,16.6,783.0
